{'bleu': 0.35570255994157035, 'precisions': [0.6526315789473685, 0.3723404255319149], 'brevity_penalty': 0.7215772849379724, 'length_ratio': 0.753968253968254, 'translation_length': 95, 'reference_length': 126}
{'bleu': 0.5139907177239414, 'precisions': [0.6249546608632571, 0.5058672533920059], 'brevity_penalty': 0.9141400508631311, 'length_ratio': 0.9176235646530204, 'translation_length': 5514, 'reference_length': 6009}
{'bleu': 0.5185833242401684, 'precisions': [0.6305042613636364, 0.5115778136779753], 'brevity_penalty': 0.9131007162822622, 'length_ratio': 0.9166666666666666, 'translation_length': 5632, 'reference_length': 6144}
{'bleu': 0.5282539677056802, 'precisions': [0.6369910282953761, 0.5207534007673527], 'brevity_penalty': 0.9171915660205959, 'length_ratio': 0.920438303954264, 'translation_length': 5796, 'reference_length': 6297}
{'bleu': 0.5307730048819471, 'precisions': [0.6383378932968536, 0.5223854796888505], 'brevity_penalty': 0.9191533305201949, 'length_ratio': 0.9222520107238605, 'translation_length': 5848, 'reference_length': 6341}
{'bleu': 0.5326571698449295, 'precisions': [0.6392748220942054, 0.5238095238095238], 'brevity_penalty': 0.9204862001801374, 'length_ratio': 0.9234861524018151, 'translation_length': 5902, 'reference_length': 6391}
{'bleu': 0.5368599933671084, 'precisions': [0.6425938337801609, 0.5280365915636117], 'brevity_penalty': 0.9216388115727161, 'length_ratio': 0.9245546088303641, 'translation_length': 5968, 'reference_length': 6455}
{'bleu': 0.5390386954382435, 'precisions': [0.6445215666831928, 0.5281537176274018], 'brevity_penalty': 0.9238916562612316, 'length_ratio': 0.926646248085758, 'translation_length': 6051, 'reference_length': 6530}
{'bleu': 0.5386173289676037, 'precisions': [0.6458504519309778, 0.5292455965437022], 'brevity_penalty': 0.9212674166929582, 'length_ratio': 0.9242102065613609, 'translation_length': 6085, 'reference_length': 6584}
{'bleu': 0.5331954092571988, 'precisions': [0.6424045491470349, 0.5253819615574175], 'brevity_penalty': 0.9177925305202009, 'length_ratio': 0.9209935657638785, 'translation_length': 6155, 'reference_length': 6683}
{'bleu': 0.5340140237941634, 'precisions': [0.6429262004511763, 0.5258269512791266], 'brevity_penalty': 0.9184397653470012, 'length_ratio': 0.9215919215919216, 'translation_length': 6206, 'reference_length': 6734}
{'bleu': 0.5345815041592645, 'precisions': [0.6417146513115803, 0.5245875121319962], 'brevity_penalty': 0.921369808514989, 'length_ratio': 0.9243051448846836, 'translation_length': 6252, 'reference_length': 6764}
{'bleu': 0.5212618906072342, 'precisions': [0.643463230672533, 0.5253456221198156], 'brevity_penalty': 0.8965438763954265, 'length_ratio': 0.9015441280634651, 'translation_length': 6364, 'reference_length': 7059}
{'bleu': 0.5249124558094248, 'precisions': [0.6462148962148963, 0.5274691358024691], 'brevity_penalty': 0.8990831731518211, 'length_ratio': 0.903848806731963, 'translation_length': 6552, 'reference_length': 7249}
{'bleu': 0.5243131684743583, 'precisions': [0.6468900966183575, 0.528316287589681], 'brevity_penalty': 0.8968679700313089, 'length_ratio': 0.9018379850238257, 'translation_length': 6624, 'reference_length': 7345}
{'bleu': 0.5264347598926298, 'precisions': [0.6449501710545887, 0.5274477365017296], 'brevity_penalty': 0.9025925819895505, 'length_ratio': 0.9070426335671884, 'translation_length': 6723, 'reference_length': 7412}
{'bleu': 0.5192445570343477, 'precisions': [0.645437122217308, 0.5269827072152653], 'brevity_penalty': 0.8903213759136392, 'length_ratio': 0.8959186369039757, 'translation_length': 6783, 'reference_length': 7571}
{'bleu': 0.5216556232559723, 'precisions': [0.6452648475120385, 0.5273719935074517], 'brevity_penalty': 0.8942446669397591, 'length_ratio': 0.8994618716366978, 'translation_length': 6853, 'reference_length': 7619}
{'bleu': 0.5243140150708155, 'precisions': [0.6467438494934877, 0.5294892433777257], 'brevity_penalty': 0.8959767541079741, 'length_ratio': 0.9010301212674403, 'translation_length': 6910, 'reference_length': 7669}
{'bleu': 0.5253764998386261, 'precisions': [0.6470165348670022, 0.5295913915951723], 'brevity_penalty': 0.8975166098010033, 'length_ratio': 0.9024263656416245, 'translation_length': 6955, 'reference_length': 7707}
{'bleu': 0.5276954254416923, 'precisions': [0.6466989186112692, 0.5298604115700101], 'brevity_penalty': 0.9014705132983275, 'length_ratio': 0.9060203686992394, 'translation_length': 7028, 'reference_length': 7757}
{'bleu': 0.5301522033218937, 'precisions': [0.6478058416819529, 0.5314685314685315], 'brevity_penalty': 0.9035233138832749, 'length_ratio': 0.9078913656161927, 'translation_length': 7087, 'reference_length': 7806}
{'bleu': 0.5296985331658215, 'precisions': [0.6461129753914989, 0.5294866355536699], 'brevity_penalty': 0.9056221529798454, 'length_ratio': 0.9098079124793284, 'translation_length': 7152, 'reference_length': 7861}
{'bleu': 0.527105066125621, 'precisions': [0.648790601243953, 0.5332028519502306], 'brevity_penalty': 0.8961870904055268, 'length_ratio': 0.9012207274539114, 'translation_length': 7235, 'reference_length': 8028}
{'bleu': 0.5225640712607371, 'precisions': [0.6499588025267784, 0.5336852340602861], 'brevity_penalty': 0.8872664055834215, 'length_ratio': 0.8931681589598921, 'translation_length': 7282, 'reference_length': 8153}
{'bleu': 0.522444320804127, 'precisions': [0.6517311608961304, 0.5359153962367806], 'brevity_penalty': 0.8840109661542964, 'length_ratio': 0.8902453765260486, 'translation_length': 7365, 'reference_length': 8273}
{'bleu': 0.5197619256182194, 'precisions': [0.6516085790884718, 0.536], 'brevity_penalty': 0.8794854745103681, 'length_ratio': 0.8861962461392254, 'translation_length': 7460, 'reference_length': 8418}
{'bleu': 0.5165839413435938, 'precisions': [0.6507726852463347, 0.5331997327989312], 'brevity_penalty': 0.8769630231331756, 'length_ratio': 0.8839462930531232, 'translation_length': 7571, 'reference_length': 8565}
{'bleu': 0.5194810756556649, 'precisions': [0.6532564539378849, 0.5363202545068929], 'brevity_penalty': 0.8776387237762203, 'length_ratio': 0.8845485104903211, 'translation_length': 7631, 'reference_length': 8627}
{'bleu': 0.5275411818611637, 'precisions': [0.6598176447926031, 0.5448759579166126], 'brevity_penalty': 0.8798235502818389, 'length_ratio': 0.8864981785063752, 'translation_length': 7787, 'reference_length': 8784}
{'bleu': 0.536009041514102, 'precisions': [0.6665827564505978, 0.5539714867617108], 'brevity_penalty': 0.8820665889663314, 'length_ratio': 0.8885036904495639, 'translation_length': 7945, 'reference_length': 8942}
{'bleu': 0.5392257160568444, 'precisions': [0.6691222374828318, 0.5573936103043313], 'brevity_penalty': 0.8829515457790337, 'length_ratio': 0.8892960248723073, 'translation_length': 8009, 'reference_length': 9006}
{'bleu': 0.540885077901698, 'precisions': [0.6697247706422018, 0.5583699059561128], 'brevity_penalty': 0.8844958862592386, 'length_ratio': 0.8906802120141343, 'translation_length': 8066, 'reference_length': 9056}
{'bleu': 0.543627454211525, 'precisions': [0.6719211822660098, 0.5612855007473841], 'brevity_penalty': 0.8852181366407248, 'length_ratio': 0.8913282107574094, 'translation_length': 8120, 'reference_length': 9110}
{'bleu': 0.5427682880666134, 'precisions': [0.6710800539414, 0.5601438492063492], 'brevity_penalty': 0.885273602470452, 'length_ratio': 0.8913779914763413, 'translation_length': 8157, 'reference_length': 9151}
{'bleu': 0.5418457831426986, 'precisions': [0.6703243111436235, 0.5590774543660583], 'brevity_penalty': 0.8851099503142951, 'length_ratio': 0.891231120286863, 'translation_length': 8202, 'reference_length': 9203}
{'bleu': 0.5311477348092679, 'precisions': [0.6683477425552353, 0.5541115024899793], 'brevity_penalty': 0.872801548643926, 'length_ratio': 0.8802452172074834, 'translation_length': 8328, 'reference_length': 9461}
{'bleu': 0.5309489749286695, 'precisions': [0.670082211366615, 0.5546583102326142], 'brevity_penalty': 0.8709154201557668, 'length_ratio': 0.8785721762797027, 'translation_length': 8393, 'reference_length': 9553}
{'bleu': 0.532364092152637, 'precisions': [0.6706551356474352, 0.5556088207094918], 'brevity_penalty': 0.8721166170248323, 'length_ratio': 0.879637348895373, 'translation_length': 8441, 'reference_length': 9596}
{'bleu': 0.533196625836723, 'precisions': [0.6686286050618011, 0.5540073835893772], 'brevity_penalty': 0.8760666334399517, 'length_ratio': 0.8831479363759227, 'translation_length': 8495, 'reference_length': 9619}
{'bleu': 0.5319930942808166, 'precisions': [0.6653051697981095, 0.5502951593860684], 'brevity_penalty': 0.8792202850909302, 'length_ratio': 0.88595947063689, 'translation_length': 8569, 'reference_length': 9672}
{'bleu': 0.5289903038314168, 'precisions': [0.6635687732342007, 0.5481899388810532], 'brevity_penalty': 0.8770800065823191, 'length_ratio': 0.884050528910342, 'translation_length': 8608, 'reference_length': 9737}
{'bleu': 0.5280566104558134, 'precisions': [0.663093591516828, 0.5472886297376093], 'brevity_penalty': 0.8765664728022141, 'length_ratio': 0.8835930339138405, 'translation_length': 8676, 'reference_length': 9819}
{'bleu': 0.5261204249352834, 'precisions': [0.660775763139775, 0.5449372967951696], 'brevity_penalty': 0.8767683079191514, 'length_ratio': 0.8837728194726167, 'translation_length': 8714, 'reference_length': 9860}
{'bleu': 0.5287989965984523, 'precisions': [0.6611363636363636, 0.5460503621938599], 'brevity_penalty': 0.8800933718819327, 'length_ratio': 0.886739218057235, 'translation_length': 8800, 'reference_length': 9924}
{'bleu': 0.531458536101336, 'precisions': [0.657806566897476, 0.5438418079096046], 'brevity_penalty': 0.8885543330733294, 'length_ratio': 0.8943268078306033, 'translation_length': 8954, 'reference_length': 10012}
{'bleu': 0.5249066875500014, 'precisions': [0.6564221194095615, 0.5401760838069765], 'brevity_penalty': 0.881501034720723, 'length_ratio': 0.8879976523525384, 'translation_length': 9078, 'reference_length': 10223}
{'bleu': 0.527281306083452, 'precisions': [0.6577569277765656, 0.5419426048565121], 'brevity_penalty': 0.8831470278296144, 'length_ratio': 0.8894711305191655, 'translation_length': 9166, 'reference_length': 10305}
{'bleu': 0.5229175576872144, 'precisions': [0.6591967088881672, 0.5431544359255203], 'brevity_penalty': 0.8739046365435162, 'length_ratio': 0.8812249570692616, 'translation_length': 9237, 'reference_length': 10482}
{'bleu': 0.5192109669524315, 'precisions': [0.657429372439077, 0.5414575605498582], 'brevity_penalty': 0.8702360983264262, 'length_ratio': 0.8779702735965161, 'translation_length': 9274, 'reference_length': 10563}
{'bleu': 0.5204730725058581, 'precisions': [0.658147989734816, 0.5423563777994158], 'brevity_penalty': 0.8711523453277613, 'length_ratio': 0.8787821838000376, 'translation_length': 9352, 'reference_length': 10642}
{'bleu': 0.5202605719171504, 'precisions': [0.6590379317652045, 0.5423456260720412], 'brevity_penalty': 0.8702171483707931, 'length_ratio': 0.877953488372093, 'translation_length': 9438, 'reference_length': 10750}
{'bleu': 0.5098305924577584, 'precisions': [0.6599472295514512, 0.5423964117898334], 'brevity_penalty': 0.8521437889662112, 'length_ratio': 0.8620689655172413, 'translation_length': 9475, 'reference_length': 10991}
{'bleu': 0.5116955569654857, 'precisions': [0.6613207547169812, 0.5435935511243105], 'brevity_penalty': 0.853431014988947, 'length_ratio': 0.8631921824104235, 'translation_length': 9540, 'reference_length': 11052}
{'bleu': 0.5110406330975973, 'precisions': [0.6580370139322105, 0.5402419779063651], 'brevity_penalty': 0.8571091031134813, 'length_ratio': 0.8664084316728222, 'translation_length': 9618, 'reference_length': 11101}
{'bleu': 0.5133532519795775, 'precisions': [0.6494584472112562, 0.5317972350230414], 'brevity_penalty': 0.8735094246376585, 'length_ratio': 0.8808738296923763, 'translation_length': 9879, 'reference_length': 11215}
{'bleu': 0.5144495920325237, 'precisions': [0.6522567703109328, 0.5349568746829021], 'brevity_penalty': 0.8709117357628215, 'length_ratio': 0.8785689108212901, 'translation_length': 9970, 'reference_length': 11348}
{'bleu': 0.5170790432964515, 'precisions': [0.6510473543135114, 0.5349000703022999], 'brevity_penalty': 0.8762223364682059, 'length_ratio': 0.8832865661171518, 'translation_length': 10073, 'reference_length': 11404}
{'bleu': 0.5153791031288822, 'precisions': [0.6510937345342968, 0.5350490686961746], 'brevity_penalty': 0.8731889699414936, 'length_ratio': 0.8805892094482699, 'translation_length': 10103, 'reference_length': 11473}
{'bleu': 0.5130250970008906, 'precisions': [0.6509396636993077, 0.5347277822257807], 'brevity_penalty': 0.8695646357386243, 'length_ratio': 0.8773756834157771, 'translation_length': 10110, 'reference_length': 11523}
{'bleu': 0.5144713053523368, 'precisions': [0.6475745178258329, 0.5316842416477777], 'brevity_penalty': 0.8767774816110145, 'length_ratio': 0.8837809917355371, 'translation_length': 10266, 'reference_length': 11616}
{'bleu': 0.515130887967074, 'precisions': [0.6402374796514412, 0.5243630727501696], 'brevity_penalty': 0.8890598431246398, 'length_ratio': 0.8947819381372633, 'translation_length': 10443, 'reference_length': 11671}
{'bleu': 0.5138404303558161, 'precisions': [0.6397248495270851, 0.5238739609510922], 'brevity_penalty': 0.887601967214249, 'length_ratio': 0.8934699103713188, 'translation_length': 10467, 'reference_length': 11715}
{'bleu': 0.5138124182960249, 'precisions': [0.6386115073704232, 0.5224670451265274], 'brevity_penalty': 0.8895221672488628, 'length_ratio': 0.8951983654009875, 'translation_length': 10515, 'reference_length': 11746}
{'bleu': 0.5153244451651807, 'precisions': [0.6397615442846328, 0.5238870272857826], 'brevity_penalty': 0.8901288075290025, 'length_ratio': 0.8957450415324631, 'translation_length': 10568, 'reference_length': 11798}
{'bleu': 0.5105318224304215, 'precisions': [0.6340369886045208, 0.518049518049518], 'brevity_penalty': 0.8907993334037831, 'length_ratio': 0.8963496316141996, 'translation_length': 10706, 'reference_length': 11944}
{'bleu': 0.5107513646404513, 'precisions': [0.6355752375680414, 0.5197871943251821], 'brevity_penalty': 0.8886142297683879, 'length_ratio': 0.8943807244822181, 'translation_length': 10839, 'reference_length': 12119}
{'bleu': 0.5120917552466475, 'precisions': [0.6380284256559767, 0.5224884792626728], 'brevity_penalty': 0.8869301334221691, 'length_ratio': 0.8928658586187261, 'translation_length': 10976, 'reference_length': 12293}
{'bleu': 0.5117564877024892, 'precisions': [0.6378877532723687, 0.5223542214564252], 'brevity_penalty': 0.8865610976268968, 'length_ratio': 0.8925342082099704, 'translation_length': 11154, 'reference_length': 12497}
{'bleu': 0.5131607237083713, 'precisions': [0.6378050953144486, 0.522616687691476], 'brevity_penalty': 0.8888281081239108, 'length_ratio': 0.8945732727707387, 'translation_length': 11226, 'reference_length': 12549}
{'bleu': 0.5134868506796457, 'precisions': [0.6354378818737271, 0.5203332139018273], 'brevity_penalty': 0.893001115575152, 'length_ratio': 0.8983374433219314, 'translation_length': 11293, 'reference_length': 12571}
{'bleu': 0.5153893324262118, 'precisions': [0.6352796773627916, 0.5200425682866264], 'brevity_penalty': 0.8966717695045905, 'length_ratio': 0.9016600790513833, 'translation_length': 11406, 'reference_length': 12650}
{'bleu': 0.5160101121264674, 'precisions': [0.6376306620209059, 0.5215437483478721], 'brevity_penalty': 0.8948046740735516, 'length_ratio': 0.8999686422075885, 'translation_length': 11480, 'reference_length': 12756}
{'bleu': 0.5175055499741169, 'precisions': [0.6390037917959325, 0.5230125523012552], 'brevity_penalty': 0.8951735430425054, 'length_ratio': 0.9003025835984173, 'translation_length': 11604, 'reference_length': 12889}
{'bleu': 0.5110445998692156, 'precisions': [0.637829536728948, 0.5194166379012772], 'brevity_penalty': 0.8878683231244804, 'length_ratio': 0.8937094929470072, 'translation_length': 11721, 'reference_length': 13115}
{'bleu': 0.5079561091173442, 'precisions': [0.6387069332199065, 0.5201789863178728], 'brevity_penalty': 0.88124967663853, 'length_ratio': 0.8877728268257684, 'translation_length': 11755, 'reference_length': 13241}
{'bleu': 0.505954001609308, 'precisions': [0.637048320216637, 0.5182331792501284], 'brevity_penalty': 0.8805666643021937, 'length_ratio': 0.8871621621621621, 'translation_length': 11817, 'reference_length': 13320}
{'bleu': 0.5022907832920319, 'precisions': [0.6365169012897244, 0.5174383900400784], 'brevity_penalty': 0.8752274211760117, 'length_ratio': 0.8824010711097887, 'translation_length': 11863, 'reference_length': 13444}
